//SQL: ID Auto
//FoodCat: 50, String
//Item: 600, string
//mass: int
//unit String, 5
//Food Category;Description/Tags;Portion, Raw;
//ENDHEADER
Cereals and Other Grain Products;Milled flax seeds;15g;
Cereals and Other Grain Products;Milled hemp seeds;15g;
Cereals and Other Grain Products;Flour, cornmeal;30g;
Cereals and Other Grain Products;Grains, such as rice or barley;45g;
Cereals and Other Grain Products;Pastas without sauce;85g;
Cereals and Other Grain Products;Pastas, dry and ready-to-eat, such as fried canned chow mein noodles;25g;
Cereals and Other Grain Products;Starch, such as cornstarch, potato starch, tapioca starch or wheat starch;10g;
Cereals and Other Grain Products;Stuffing;100g;
Cereals and Other Grain Products;Cheese, cream cheese, cheese spread;30g;
Cereals and Other Grain Products;Cottage cheese;125g;
Cereals and Other Grain Products;Cheese used as an ingredient, such as dry cottage cheese or ricotta cheese;55g;
Cereals and Other Grain Products;Hard cheese, grated, such as parmesan or romano;15g;
Cereals and Other Grain Products;Quark, fresh cheese and fresh dairy desserts;100g;
Cereals and Other Grain Products;Cream and cream substitute;15ml;
Cereals and Other Grain Products;Cream and cream substitute, powder;2g;
Cereals and Other Grain Products;Cream and cream substitute, aerosol or whipped;15g;
Cereals and Other Grain Products;Eggnog;125ml;
Cereals and Other Grain Products;Milk, evaporated or condensed;15ml;
Cereals and Other Grain Products;Plant-based beverages, milk, buttermilk and milk-based drinks, such as chocolate milk;250ml;
Cereals and Other Grain Products;Smoothie (if whey/dairy is a main ingredient);250ml;
Cereals and Other Grain Products;Drinkable yogurt;250ml;
Cereals and Other Grain Products;Shakes and shake substitutes such as dairy shake mix;250ml;
Cereals and Other Grain Products;Sour cream;30ml;
Cereals and Other Grain Products;Yogurt;175g;
Desserts;Ice cream, ice milk, frozen yogurt, sherbet;125ml;
Desserts;Non-dairy desserts sold in tub;125ml;
Desserts;Dairy desserts, frozen, such as cakes, bars, sandwiches or cones;125ml;
Desserts;Non-dairy desserts, frozen, such as flavoured and sweetened ice or pops, frozen fruit juices in bars or cups;75ml;
Desserts;Sundaes;250ml;
Desserts;Custard, gelatin and pudding;125ml;
Dessert Toppings and Fillings;Dessert toppings, maple butter and marshmallow cream;30g;
Dessert Toppings and Fillings;Cake frostings and icings;35g;
Dessert Toppings and Fillings;Streusal topping;35g;
Dessert Toppings and Fillings;Pie fillings;75ml;
Egg and Egg Substitutes;Egg mixtures, such as egg foo young, scrambled eggs, omelets;110g;
Egg and Egg Substitutes;Eggs,including eggs in the shell, liquid eggs and liquid egg whites;50g;
Egg and Egg Substitutes;Egg substitutes;50g;
Fats and Oils;Butter, margarine, shortening, lard;10g;
Fats and Oils;Butter-flavoured spread (mostly vegetable oil);10g;
Fats and Oils;Vegetable oil;10ml;
Fats and Oils;Butter replacement, powder;2g;
Fats and Oils;Dressings for salad;30ml;
Fats and Oils;Mayonnaise, sandwich spread and mayonnaise-type dressing;15ml;
Fats and Oils;Oil, spray type;0.5g;
Marine and Fresh Water Animals;Canned anchovies, anchovy paste and caviar ;15g;
Marine and Fresh Water Animals;Marine and fresh water animals with sauce, such as fish with cream sauce or shrimp with lobster sauce;125g;
Marine and Fresh Water Animals;Raw fish with sauce;125g;
Marine and Fresh Water Animals;Marine and fresh water animals, canned;55g;
Marine and Fresh Water Animals;Marine and fresh water animals, smoked or pickled, or spreads ;55g;
Fruits and Fruit Juices;Fruit, fresh, canned or frozen, coated or uncoated;140g;
Fruits and Fruit Juices;Candied or pickled fruit ;30g;
Fruits and Fruit Juices;Dried fruit, such as raisins, dates or figs;40g;
Fruits and Fruit Juices;Fruit for garnish or flavour, such as maraschino cherries ;4g;
Fruits and Fruit Juices;Fruit relishes;60ml;
Fruits and Fruit Juices;Avocado, used as an ingredient;30g;
Fruits and Fruit Juices;Cranberries, lemons and limes, used as ingredients;55g;
Fruits and Fruit Juices;Watermelon, cantaloupe, honeydew and other melons;150g;
Fruits and Fruit Juices;Juices, nectars and fruit drinks represented for use as substitutes for fruit juices;250ml;
Fruits and Fruit Juices;Juices, used as ingredients, such as lemon juice or lime juice;5ml;
Legumes;Bean curd (tofu) or tempeh ;85g;
Legumes;Beans, peas and lentils, such as white beans, kidney beans, romano beans, soybeans or chick peas;100g;
Meat, Poultry, Their Products and Substitutes ;Pork rinds and bacon;54g;
Meat, Poultry, Their Products and Substitutes ;Beef, pork and poultry breakfast strips;30g;
Meat, Poultry, Their Products and Substitutes ;Dried meat and poultry, such as jerky, dried beef or parma ham, as well as sausage products with a water activity of 0.90 or less, such as salami, dried thuringer or cervelat;30g;
Meat, Poultry, Their Products and Substitutes ;"Luncheon meats such as bologna, blood pudding, minced luncheon roll, liver sausage, mortadella, ham and cheese loaf or headcheese; pâté, sandwich spread, potted meat food product; taco fillings; meat pie fillings and cretons";75g,;
Meat, Poultry, Their Products and Substitutes ;Sausage products, such as linked sausage, Vienna sausage, wieners, breakfast sausage, frankfurters, pork sausage, bratwurst, kielbasa, Polish sausage, summer sausage, smoked sausage, smoked country sausage, pepperoni, knackwurst, thuringer and cervelat;75g,;
Meat, Poultry, Their Products and Substitutes ;Sausage made with combination of seafood and pork (mostly seafood);75g,;
Meat, Poultry, Their Products and Substitutes ;Cuts of meat and poultry without sauce, and ready-to-cook cuts, with or without breading or batter, including marinated, tenderized and injected cuts;125g;
Meat, Poultry, Their Products and Substitutes ;Shish kebab (only marinated meat, no vegetables);125g;
Meat, Poultry, Their Products and Substitutes ;Whole chicken (no stuffing);125g;
Meat, Poultry, Their Products and Substitutes ;Turkey roast (no stuffing);125g;
Meat, Poultry, Their Products and Substitutes ;Patties (including veggie burger patties), cutlettes, chopettes, steakettes, meatballs, sausage meat and ground meat, with or without breading or batter;100g;
Meat, Poultry, Their Products and Substitutes ;Falafels;100g;
Meat, Poultry, Their Products and Substitutes ;Corn dog on a stick (breaded);100g;
Meat, Poultry, Their Products and Substitutes ;Cured meat products such as cured ham, dry cured ham, back bacon, cured pork back, dry cured cappicolo, corned beef, pastrami, country ham, cured pork shoulder picnic, cured poultry ham products, smoked meat or pickled meat;85g;
Meat, Poultry, Their Products and Substitutes ;Canned meat and poultry ;55g;
Meat, Poultry, Their Products and Substitutes ;Meat and poultry with sauce, such as meat in barbecue sauce or turkey with gravy, but excluding combination dishes;140g;
Miscellaneous category;Baking powder, baking soda, pectinand yeast;0.6g;
Miscellaneous category;Baking decorations, such as coloured sugars or sprinkles for cookies;4g;
Miscellaneous category;Bread crumbs and batter mixes;30g;
Miscellaneous category;Cooking wine;30ml;
Miscellaneous category;Cocoa powder;5g;
Miscellaneous category;Non-alcoholic drink mixers, such as pina colada or daiquiri;250ml;
Miscellaneous category;Chewing gum;3g;
Miscellaneous category;Salad and potato toppers, such as salad crunchies, salad crispins or substitutes for bacon bits;7g;
Miscellaneous category;Salt and salt substitute, as well as seasoned salt such as garlic salt;1g;
Miscellaneous category;Spices and herbs (no salt);0.5g;
Combination Dishes;Measurable with a cup, such as casserole, hash, macaroni and cheese with or without meat, pot pie, spaghetti with sauce, stir fry, meat or poultry casserole, baked or refried beans, wieners and beans, meat chili, chili with beans, creamed chipped beef, beef or poultry ravioli in sauce, beef stroganoff, poultry à la king, Brunswick stew, goulash, stew, ragout or poutine,rice and vegetables, butter chicken with rice;250ml;
Combination Dishes;"Not measurable with a cup, such as burritos, egg rolls, enchiladas, pizza (considered to be ""without sauce""), pizza rolls, sausage rolls, pastry rolls, cabbage rolls, quiche, sandwiches, crackers and meat or poultry lunch-type packages, gyros, burger on a bun, frank on a bun, calzones, tacos, pockets stuffed with meat, lasagna, chicken cordon bleu, stuffed vegetables with meat or poultry, shish kabobs (if combination of meat and vegetables), empanadas, fajitas, souvlaki (if combination of meat and vegetables), meat pie or tourtière";140g;
Combination Dishes;Meat-filled cannelloni, no sauce;140g without gravy or sauce,;
Combination Dishes;Stuffed turkey roast;140g;
Combination Dishes;Stuffed chicken;140g;
Combination Dishes;Dish measurable with a cup but net quantity and serving size declared in grams;140g,;
Combination Dishes;Hors d'oeuvres;50g;
Nuts and Seeds;Nuts and seeds, not for use as snacks: whole, chopped, sliced, slivered or ground;30g;
Nuts and Seeds;Butters, pastes and creams, other than peanut butter;30g;
Nuts and Seeds;Peanut butter;15g;
Nuts and Seeds;Flours, such as coconut flour;15g;
Potatoes, Sweet Potatoes and Yams;French fries, hash browns, skins and pancakes;85g;
Potatoes, Sweet Potatoes and YamsPotatoes, Sweet Potatoes and Yams;Mashed, candied, stuffed, or with sauce;140g;
Potatoes, Sweet Potatoes and Yams;Fresh Potato, Frozen Potato;110g;
Potatoes, Sweet Potatoes and Yams;Potato vacuum packed;125g;
Potatoes, Sweet Potatoes and Yams;Potato Canned;160g;
Salads;Salads, egg, fish, shellfish, bean, fruit, vegetable, meat, ham or poultry salad, except those listed as a separate item;100g;
Salads;Gelatin salad;120g;
Salads;Pasta or potato salad;140g;
Sauces, Dips, Gravies and Condiments;Sauces for dipping, such as barbecue, hollandaise, tartar, mustard or sweet and sour sauce;30ml;
Sauces, Dips, Gravies and Condiments;Dips, such as legume or dairy-based;30g;
Sauces, Dips, Gravies and Condiments;main entrée sauce, spaghetti sauce;125ml;
Sauces, Dips, Gravies and Condiments;Minor main entrée sauce, pizza sauce, pesto sauce, or other sauces used as toppings such as white sauce, cheese sauce, salsa, cocktail sauce or gravy;60ml;
Sauces, Dips, Gravies and Condiments;Major condiments, such as ketchup, steak sauce, soy sauce, vinegar, teriyaki sauce or marinades;15ml;
Sauces, Dips, Gravies and Condiments;Minor condiments, such as horseradish, hot sauce, mustard, or Worcestershire sauce;5ml;
Sauces, Dips, Gravies and Condiments;Liquid smoke;5 ml;
Snacks;Chips, pretzels, popcorn, extruded snacks, grain-based snack mixes and fruit-based snacks, such as fruit chips;50g;
Snacks;Pita chips;50g;
Snacks;Nuts or seeds for use as snacks, shelled;50g;
Snacks;Meat or poultry snack food sticks;20g;
Soups;Soup;250ml;
Sugars and Sweets;Candies, chocolate bars, other chocolate product;40g;
Sugars and Sweets;Hard candies;15g;
Sugars and Sweets;Baking candies, chocolate chips;15g;
Sugars and Sweets;Breath mints;2g;
Sugars and Sweets;mini hard candies;5g;
Sugars and Sweets;Confectioner's sugar, icing sugar;30g;
Sugars and Sweets;Bread spreads, honey, molasses;20g;
Sugars and Sweets;Jams, jellies, marmalades, fruit butters, spreads;15ml;
Sugars and Sweets;Marshmallows;30g;
Sugars and Sweets;Sugars;4g;
Sugars and Sweets;Syrup, chocolate syrup, maple syrup, corn syrup;50ml;
Vegetables;Vegetables without sauce, including cream style corn and stewed tomatoes;85g;
Vegetables;Onion rings;85g;
Vegetables;Breaded zucchini sticks;85g;
Vegetables;Vegetables with sauce;110g;
Vegetables;Vegetables primarily used for garnish or flavouring, fresh, canned or frozen, but not dried, such as parsley or garlic;4g;
Vegetables;Chili pepper and green onion;30g;
Vegetables;Seaweed;15g;
Vegetables;Dehydrated mushrooms;15g;
Vegetables;Lettuce and sprouts;65g;
Vegetables;Vegetable juice and vegetable drink;250ml;
Vegetables;Olives;15g;
Vegetables;Sun-dried tomato packed in oil;15g;
Vegetables;Pickles;30g;
Vegetables;Artichoke hearts;30g;
Vegetables;Relish;15ml;
Vegetables;Vegetable paste;30ml;
Vegetables;Vegetable sauce or purée;60ml;
